genome,completeness,contamination,length,N50
14_0903_16_30cm_Armatimonadetes_5543_65_20.fasta,94.44,5.0,2963759.0,20192.0
14_0903_16_30cm_Deltaproteobacteria_5544_55_13.fasta,93.69,7.78,6174886.0,7649.0
14_0903_16_30cm_Actinobacteria_5528_68_10.fasta,92.84,1.41,2755797.0,62687.0
14_0903_16_30cm_Bacteria_5587_55_10.fasta,92.26,12.81,3794023.0,7565.0
14_0903_16_30cm_Bacteria_5521_66_8.fasta,92.12,0.93,2965974.0,39366.0
14_0903_16_30cm_Gemmatimonadetes_10589_66_11.fasta,92.11,4.15,3208937.0,12012.0
14_0903_16_30cm_Bacteria_5519_70_9.fasta,91.51,4.73,5592408.0,14149.0
14_0903_16_30cm_Gemmatimonadetes_5534_69_11.fasta,91.35,2.3,3339715.0,22681.0
14_0903_16_30cm_Bacteria_5547_55_9.fasta,91.22,5.91,3044936.0,11819.0
14_0903_16_30cm_Bacteria_5529_57_7.fasta,90.93,1.71,6324012.0,16517.0
14_0903_16_30cm_Gemmatimonadetes_5566_70_8.fasta,90.48,4.78,2861173.0,22148.0
14_0903_16_30cm_Actinobacteria_5542_69_8.fasta,90.07,2.24,2490987.0,19952.0
14_0903_16_30cm_Gemmatimonadetes_5607_69_21.fasta,89.06,2.58,3051131.0,29414.0
14_0903_16_30cm_Gemmatimonadetes_5560_69_10.fasta,89.01,10.32,3096330.0,7592.0
14_0903_16_30cm_Bacteria_5522_68_10.fasta,88.76,6.27,6708791.0,16978.0
14_0903_16_30cm_Bacteria_5549_55_18.fasta,87.73,2.44,2461781.0,19551.0
14_0903_16_30cm_Rokubacteria_5524_69_12.fasta,87.56,3.53,4222561.0,15388.0
14_0903_16_30cm_Bacteria_5559_56_10.fasta,86.97,10.0,5164716.0,7060.0
14_0903_16_30cm_Bacteria_5541_67_8.fasta,86.59,1.59,2499097.0,11370.0
14_0903_16_30cm_Rokubacteria_5554_70_10.fasta,85.38,8.38,5837343.0,10872.0
14_0903_16_30cm_Bacteria_5540_71_7.fasta,85.12,7.19,4516612.0,9884.0
14_0903_16_30cm_Bacteria_5538_55_14.fasta,84.46,4.14,2151596.0,11777.0
14_0903_16_30cm_Verrucomicrobia_5531_55_9.fasta,83.69,1.91,2061653.0,13448.0
14_0903_16_30cm_Euryarchaeota_5546_65_14.fasta,83.64,3.07,1821036.0,11478.0
14_0903_16_30cm_Proteobacteria_5555_68_12.fasta,83.57,5.71,3390768.0,9991.0
14_0903_16_30cm_Bacteria_5551_72_15.fasta,83.54,9.38,4002593.0,13503.0
14_0903_16_30cm_Rokubacteria_5533_70_7.fasta,82.85,1.92,3787621.0,13697.0
14_0903_16_30cm_Bacteria_5548_65_8.fasta,82.31,3.27,2494446.0,8570.0
14_0903_16_30cm_Bacteria_5576_67_8.fasta,81.53,0.99,2531455.0,7300.0
14_0903_16_30cm_Rokubacteria_5537_69_7.fasta,80.77,1.94,4218134.0,10936.0
14_0903_16_30cm_Euryarchaeota_5585_64_25.fasta,80.25,6.44,1863307.0,5178.0
14_0903_16_30cm_Bacteria_5532_63_7.fasta,79.37,1.98,2267700.0,10605.0
14_0903_16_30cm_Alphaproteobacteria_5527_63_11.fasta,78.58,3.7,3020975.0,12181.0
14_0903_16_30cm_Rokubacteria_5536_70_14.fasta,77.82,6.15,4021102.0,16040.0
14_0903_16_30cm_Euryarchaeota_5565_64_21.fasta,77.13,3.47,1769566.0,10693.0
14_0903_16_30cm_Bacteria_5539_66_9.fasta,75.98,1.85,2076665.0,17718.0
14_0903_16_30cm_Euryarchaeota_5572_64_14.fasta,75.83,3.95,1758943.0,6182.0
14_0903_16_30cm_Bacteria_5552_54_22.fasta,75.51,5.97,2025023.0,10796.0
14_0903_16_30cm_Rokubacteria_5581_69_7.fasta,72.85,2.85,,
14_0903_16_30cm_Alphaproteobacteria_5520_65_11.fasta,72.81,3.23,,
14_0903_16_30cm_Euryarchaeota_5574_65_21.fasta,72.42,2.04,,
14_0903_16_30cm_Bacteria_5535_55_10.fasta,71.27,2.44,,
14_0903_16_30cm_Betaproteobacteria_5545_66_11.fasta,71.1,9.49,,
14_0903_16_30cm_Acidobacteria_5584_65_7.fasta,71.09,5.56,,
14_0903_16_30cm_Bacteria_5580_55_13.fasta,69.83,4.63,,
14_0903_16_30cm_Rokubacteria_5530_71_7.fasta,69.82,1.82,,
14_0903_16_30cm_Gemmatimonadetes_5563_69_6.fasta,69.37,2.2,,
14_0903_16_30cm_Rokubacteria_5575_69_6.fasta,68.68,2.1,,
14_0903_16_30cm_Bacteria_5577_66_7.fasta,64.61,2.06,,
14_0903_16_30cm_Rokubacteria_5556_68_5.fasta,64.56,1.72,,
14_0903_16_30cm_Bacteria_5601_54_15.fasta,63.95,4.02,,
14_0903_16_30cm_Bacteria_5586_70_7.fasta,63.44,1.4,,
14_0903_16_30cm_Bacteria_5562_58_7.fasta,61.29,1.57,,
14_0903_16_30cm_Rokubacteria_5594_70_6.fasta,61.18,0.05,,
14_0903_16_30cm_Gemmatimonadetes_5550_70_8.fasta,60.64,1.65,,
14_0903_16_30cm_unknown_5609_52_14.fasta,59.22,16.02,,
14_0903_16_30cm_Deltaproteobacteria_5589_68_6.fasta,57.94,3.23,,
14_0903_16_30cm_unknown_5568_53_7.fasta,57.66,4.49,,
14_0903_16_30cm_Deltaproteobacteria_5573_69_6.fasta,57.35,0.0,,
14_0903_16_30cm_Acidobacteria_5567_57_8.fasta,57.23,1.19,,
14_0903_16_30cm_Acidobacteria_5578_57_6.fasta,56.97,2.07,,
14_0903_16_30cm_Bacteria_5582_73_10.fasta,56.35,6.11,,
14_0903_16_30cm_Bacteria_5564_55_8.fasta,55.44,5.18,,
14_0903_16_30cm_Euryarchaeota_5606_64_8.fasta,54.79,3.47,,
14_0903_16_30cm_Ktedonobacter_racemifer_5570_51_7.fasta,53.34,0.5,,
14_0903_16_30cm_Bacteria_5598_54_6.fasta,53.22,2.88,,
14_0903_16_30cm_Bacteria_5579_66_8.fasta,53.08,2.78,,
14_0903_16_30cm_Bacteria_5631_56_17.fasta,51.72,15.91,,
14_0903_16_30cm_Bacteria_5615_65_5.fasta,51.62,16.67,,
14_0903_16_30cm_Archaea_5558_52_11.fasta,50.9,2.99,,
14_0903_16_30cm_Proteobacteria_5583_68_8.fasta,49.48,2.21,,
14_0903_16_30cm_unknown_5595_52_7.fasta,46.95,2.02,,
14_0903_16_30cm_Bacteria_5604_70_5.fasta,45.71,1.68,,
14_0903_16_30cm_Bacteria_5557_67_6.fasta,43.59,0.99,,
14_0903_16_30cm_Candidatus_Nitrososphaera_gargensis_5610_48_5.fasta,42.21,0.0,,
14_0903_16_30cm_Bacteria_5588_66_6.fasta,41.86,0.0,,
14_0903_16_30cm_Actinobacteria_5611_69_7.fasta,41.26,3.45,,
14_0903_16_30cm_Bacteria_5597_70_5.fasta,38.58,0.0,,
14_0903_16_30cm_Bacteria_5617_68_4.fasta,38.4,0.0,,
14_0903_16_30cm_Actinobacteria_5619_70_6.fasta,37.85,7.82,,
14_0903_16_30cm_Nitrospirae_5612_64_8.fasta,37.8,1.75,,
14_0903_16_30cm_Bacteria_5590_59_5.fasta,37.79,1.61,,
14_0903_16_30cm_Bacteria_5640_65_5.fasta,35.15,0.16,,
14_0903_16_30cm_Actinobacteria_5656_70_8.fasta,35.06,6.36,,
14_0903_16_30cm_Bacteria_5608_57_5.fasta,34.45,3.92,,
14_0903_16_30cm_Gemmatimonadetes_5605_70_7.fasta,33.6,2.63,,
14_0903_16_30cm_Ktedonobacter_racemifer_5620_54_7.fasta,33.5,3.96,,
14_0903_16_30cm_Acidobacteria_5591_56_5.fasta,32.87,1.71,,
14_0903_16_30cm_Acidobacteria_5600_66_5.fasta,32.53,0.85,,
14_0903_16_30cm_Bacteria_5592_70_4.fasta,32.27,0.0,,
14_0903_16_30cm_unknown_5596_52_10.fasta,32.24,0.0,,
14_0903_16_30cm_Verrucomicrobia_5603_59_7.fasta,30.03,0.82,,
14_0903_16_30cm_Bacteria_5642_55_8.fasta,29.48,4.14,,
14_0903_16_30cm_Bacteria_5632_55_12.fasta,28.31,3.38,,
14_0903_16_30cm_Bradyrhizobium_5571_63_9.fasta,27.62,1.57,,
14_0903_16_30cm_Bacteria_5639_56_30.fasta,26.65,0.43,,
14_0903_16_30cm_Euryarchaeota_5599_65_7.fasta,26.24,0.0,,
14_0903_16_30cm_Verrucomicrobia_5593_54_6.fasta,25.66,0.0,,
14_0903_16_30cm_unknown_5621_53_9.fasta,25.57,3.88,,
14_0903_16_30cm_Actinobacteria_5602_70_7.fasta,25.11,0.0,,
14_0903_16_30cm_Acidobacteria_5650_57_8.fasta,24.14,0.0,,
14_0903_16_30cm_Bacteria_5569_68_21.fasta,23.98,2.57,,
14_0903_16_30cm_Alphaproteobacteria_5624_63_9.fasta,23.97,2.4,,
14_0903_16_30cm_Actinobacteria_5613_68_7.fasta,23.79,0.85,,
14_0903_16_30cm_unknown_5633_53_9.fasta,23.09,1.94,,
14_0903_16_30cm_Bacteria_5635_66_6.fasta,22.73,0.0,,
14_0903_16_30cm_Actinobacteria_5645_70_7.fasta,22.38,0.86,,
14_0903_16_30cm_unknown_5616_53_7.fasta,20.99,0.93,,
14_0903_16_30cm_Euryarchaeota_5641_63_16.fasta,20.87,0.0,,
14_0903_16_30cm_Euryarchaeota_5629_64_8.fasta,19.12,2.34,,
14_0903_16_30cm_Bacteria_5646_70_6.fasta,18.03,0.0,,
14_0903_16_30cm_Bacteria_5653_55_7.fasta,16.38,0.0,,
14_0903_16_30cm_Proteobacteria_5622_68_7.fasta,15.82,0.0,,
14_0903_16_30cm_Bacteria_5654_55_7.fasta,14.58,1.72,,
14_0903_16_30cm_unknown_5651_52_8.fasta,14.15,0.0,,
14_0903_16_30cm_Euryarchaeota_5628_62_11.fasta,13.55,0.0,,
14_0903_16_30cm_Bacteria_5614_67_6.fasta,12.13,0.43,,
14_0903_16_30cm_Bacteria_5623_66_7.fasta,11.76,0.0,,
14_0903_16_30cm_Bacteria_5625_69_11.fasta,11.13,0.0,,
14_0903_16_30cm_Euryarchaeota_5630_64_16.fasta,10.75,0.0,,
14_0903_16_30cm_Gemmatimonadetes_5618_69_22.fasta,10.58,1.72,,
14_0903_16_30cm_Actinobacteria_5657_69_6.fasta,10.27,1.72,,
14_0903_16_30cm_Bacteria_5636_67_10.fasta,10.26,0.0,,
14_0903_16_30cm_Euryarchaeota_5658_62_9.fasta,10.1,0.0,,
14_0903_16_30cm_Chloroflexi_5655_55_7.fasta,9.25,0.35,,
14_0903_16_30cm_Bacteria_5634_57_10.fasta,9.03,1.72,,
14_0903_16_30cm_Bacteria_5647_69_6.fasta,8.46,0.0,,
14_0903_16_30cm_Bacteria_5644_68_5.fasta,7.99,0.0,,
14_0903_16_30cm_Actinobacteria_5649_68_10.fasta,7.84,0.0,,
14_0903_16_30cm_Bacteria_5626_55_8.fasta,6.19,0.0,,
14_0903_16_30cm_Bacteria_5659_56_5.fasta,5.86,0.0,,
14_0903_16_30cm_Bacteria_5637_65_13.fasta,5.8,0.0,,
14_0903_16_30cm_Bacteria_5627_66_7.fasta,5.58,0.0,,
14_0903_16_30cm_Euryarchaeota_5652_65_13.fasta,4.17,0.0,,
14_0903_16_30cm_Bacteria_5638_68_5.fasta,2.06,0.0,,
14_0903_16_30cm_Bacteria_5648_56_9.fasta,1.88,0.47,,
14_0903_16_30cm_Bacteria_5643_59_6.fasta,1.25,0.0,,
14_0903_16_40cm_Bacteria_5666_66_11.fasta,98.9,2.26,3371100.0,90794.0
14_0903_16_40cm_Nitrososphaera_5661_35_8.fasta,98.71,2.91,2143083.0,34872.0
14_0903_16_40cm_Bacteria_5667_66_11.fasta,98.61,0.93,3056726.0,34413.0
14_0903_16_40cm_Gemmatimonadetes_5663_66_11.fasta,98.35,1.2,3426061.0,48238.0
14_0903_16_40cm_Thaumarchaeota_5674_38_9.fasta,97.66,0.0,1528086.0,26820.0
14_0903_16_40cm_Bacteria_5673_68_24.fasta,97.19,4.95,4560469.0,13855.0
14_0903_16_40cm_Gemmatimonadetes_5676_69_11.fasta,96.15,3.3,3722267.0,88370.0
14_0903_16_40cm_Nitrospirae_5702_62_12.fasta,95.85,3.69,2906870.0,17645.0
14_0903_16_40cm_Bacteria_5662_57_16.fasta,95.73,4.27,6594581.0,58910.0
14_0903_16_40cm_Bacteria_5668_58_16.fasta,95.51,4.7,8814118.0,74890.0
14_0903_16_40cm_Acidobacteria_5688_65_12.fasta,95.25,5.13,8192038.0,19477.0
14_0903_16_40cm_Gemmatimonadetes_5696_69_21.fasta,95.05,5.49,3910721.0,42609.0
14_0903_16_40cm_Bacteria_5697_67_9.fasta,95.05,1.98,3327700.0,30405.0
14_0903_16_40cm_Bacteria_5672_60_9.fasta,95.03,4.56,5253747.0,21248.0
14_0903_16_40cm_Gemmatimonadetes_5680_70_15.fasta,94.31,3.4,3229676.0,20372.0
14_0903_16_40cm_Nitrospirae_5665_62_14.fasta,94.24,4.55,2345443.0,24684.0
14_0903_16_40cm_Bacteria_5664_66_14.fasta,93.98,3.7,2954227.0,28071.0
14_0903_16_40cm_Gemmatimonadetes_5686_65_9.fasta,93.96,2.2,3052581.0,25375.0
14_0903_16_40cm_Bacteria_5677_55_22.fasta,93.81,2.7,2937320.0,23927.0
14_0903_16_40cm_Gemmatimonadetes_5718_70_16.fasta,92.85,4.76,2944800.0,11412.0
14_0903_16_40cm_Bacteria_5703_63_9.fasta,92.08,0.99,2705264.0,14883.0
14_0903_16_40cm_Gemmatimonadetes_5690_69_9.fasta,91.98,2.95,3365512.0,9588.0
14_0903_16_40cm_Bacteria_5660_68_9.fasta,91.09,3.42,3747099.0,37663.0
14_0903_16_40cm_Bacteria_5671_68_7.fasta,90.98,0.11,2739891.0,15520.0
14_0903_16_40cm_Bacteria_5694_56_7.fasta,90.92,1.76,5252703.0,9637.0
14_0903_16_40cm_Bacteria_5678_71_8.fasta,90.54,5.97,4876855.0,11174.0
14_0903_16_40cm_Nitrospirae_5772_63_15.fasta,90.53,5.33,2230572.0,5726.0
14_0903_16_40cm_Betaproteobacteria_5812_64_12.fasta,90.38,17.69,3470722.0,6616.0
14_0903_16_40cm_Rokubacteria_5670_69_22.fasta,89.32,5.45,5085450.0,10485.0
14_0903_16_40cm_Rokubacteria_5669_68_11.fasta,89.32,6.09,5438587.0,47226.0
14_0903_16_40cm_Candidatus_Nitrososphaera_gargensis_5725_48_10.fasta,88.83,6.8,1835135.0,6481.0
14_0903_16_40cm_Gemmatimonadetes_5741_66_9.fasta,88.36,5.62,3250684.0,10876.0
14_0903_16_40cm_Acidobacteria_5683_60_8.fasta,88.15,1.71,4005428.0,11246.0
14_0903_16_40cm_Bacteria_5682_56_8.fasta,86.98,3.42,6744601.0,7083.0
14_0903_16_40cm_Bacteria_5691_68_15.fasta,86.85,13.46,6741330.0,9398.0
14_0903_16_40cm_Bacteria_5681_70_22.fasta,86.7,5.24,6231410.0,31930.0
14_0903_16_40cm_Rokubacteria_5675_69_23.fasta,86.32,5.41,3397876.0,9217.0
14_0903_16_40cm_Bacteria_5693_70_7.fasta,86.14,2.09,2699151.0,11657.0
14_0903_16_40cm_Armatimonadetes_5709_65_25.fasta,85.93,10.09,2879792.0,9219.0
14_0903_16_40cm_Gemmatimonadetes_5706_69_10.fasta,85.7,8.81,3252236.0,13931.0
14_0903_16_40cm_Gemmatimonadetes_5743_67_7.fasta,85.69,3.48,2915461.0,10041.0
14_0903_16_40cm_Nitrospirae_5751_59_9.fasta,85.63,3.79,2790477.0,11634.0
14_0903_16_40cm_Rokubacteria_10593_69_11.fasta,85.61,6.28,4016835.0,40905.0
14_0903_16_40cm_Euryarchaeota_5700_65_8.fasta,85.59,3.66,1948193.0,15788.0
14_0903_16_40cm_Rokubacteria_5742_69_11.fasta,85.54,10.46,5114819.0,15167.0
14_0903_16_40cm_Rokubacteria_5685_68_8.fasta,85.2,4.42,5458233.0,15966.0
14_0903_16_40cm_Bacteria_5749_55_19.fasta,85.06,2.56,2884037.0,9419.0
14_0903_16_40cm_Bacteria_5732_72_9.fasta,84.64,6.16,3777222.0,6889.0
14_0903_16_40cm_Rokubacteria_5695_68_10.fasta,84.37,4.9,4645077.0,12090.0
14_0903_16_40cm_Bacteria_5795_55_10.fasta,84.16,11.6,2566171.0,5452.0
14_0903_16_40cm_Bacteria_5735_72_15.fasta,84.07,9.5,4955720.0,8006.0
14_0903_16_40cm_unknown_5721_52_12.fasta,84.04,1.71,2355645.0,23584.0
14_0903_16_40cm_Actinobacteria_5687_68_8.fasta,83.08,3.65,2426133.0,11353.0
14_0903_16_40cm_Bacteria_5744_55_9.fasta,82.73,5.31,2700076.0,7458.0
14_0903_16_40cm_Bacteria_5698_67_8.fasta,82.12,2.95,2519117.0,7252.0
14_0903_16_40cm_Bacteria_5679_69_7.fasta,81.84,13.61,5977752.0,10010.0
14_0903_16_40cm_Rokubacteria_5689_69_7.fasta,81.7,1.93,4527326.0,11937.0
14_0903_16_40cm_Bacteria_5753_55_14.fasta,81.42,4.42,2713607.0,8479.0
14_0903_16_40cm_Bacteria_5780_55_14.fasta,81.34,6.19,2476605.0,6819.0
14_0903_16_40cm_Euryarchaeota_5754_64_17.fasta,80.13,5.73,1728924.0,5875.0
14_0903_16_40cm_Gemmatimonadetes_5723_70_7.fasta,79.62,1.1,2574306.0,15625.0
14_0903_16_40cm_Euryarchaeota_5739_64_24.fasta,79.56,5.49,1702033.0,6937.0
14_0903_16_40cm_Bacteria_5738_59_7.fasta,79.29,6.89,5955288.0,6141.0
14_0903_16_40cm_Gemmatimonadetes_5734_69_7.fasta,78.8,1.1,2299234.0,8560.0
14_0903_16_40cm_Archaea_5750_52_12.fasta,77.51,3.4,1792051.0,11124.0
14_0903_16_40cm_Bacteria_5699_54_17.fasta,77.26,0.99,2054257.0,12134.0
14_0903_16_40cm_Proteobacteria_5707_69_7.fasta,77.08,2.35,2561835.0,8422.0
14_0903_16_40cm_Bacteria_5701_66_6.fasta,76.81,2.75,2182539.0,11314.0
14_0903_16_40cm_Euryarchaeota_5802_64_27.fasta,76.67,8.13,1684349.0,11548.0
14_0903_16_40cm_Bacteria_5720_55_10.fasta,76.55,2.31,1951749.0,6349.0
14_0903_16_40cm_Gemmatimonadetes_5818_69_13.fasta,76.17,7.69,3156910.0,6854.0
14_0903_16_40cm_Bacteria_5729_55_13.fasta,75.66,6.08,2398234.0,11312.0
14_0903_16_40cm_Euryarchaeota_5711_65_17.fasta,75.5,5.0,1721448.0,8270.0
14_0903_16_40cm_Archaea_5717_51_10.fasta,75.23,3.12,1349155.0,6354.0
14_0903_16_40cm_Alphaproteobacteria_5704_65_10.fasta,75.14,4.17,3780291.0,5133.0
14_0903_16_40cm_unknown_5768_52_12.fasta,75.11,1.87,1768914.0,8130.0
14_0903_16_40cm_Bacteria_5789_68_8.fasta,75.1,7.26,2654681.0,5905.0
14_0903_16_40cm_Bacteria_5719_63_15.fasta,74.73,0.0,,
14_0903_16_40cm_Bacteria_5692_55_8.fasta,73.69,2.64,,
14_0903_16_40cm_Deltaproteobacteria_5713_55_6.fasta,73.66,5.09,,
14_0903_16_40cm_Nitrospirae_5726_59_6.fasta,73.16,1.88,,
14_0903_16_40cm_unknown_5731_53_5.fasta,73.05,0.47,,
14_0903_16_40cm_Bacteria_5767_56_23.fasta,72.6,6.02,,
14_0903_16_40cm_Acidobacteria_5783_57_9.fasta,71.66,12.87,,
14_0903_16_40cm_Bacteria_5724_55_11.fasta,70.77,5.07,,
14_0903_16_40cm_Thaumarchaeota_5684_39_7.fasta,70.71,0.32,,
14_0903_16_40cm_Bacteria_5799_71_9.fasta,70.55,6.61,,
14_0903_16_40cm_Rokubacteria_5730_70_7.fasta,70.48,0.28,,
14_0903_16_40cm_Gemmatimonadetes_5770_71_9.fasta,70.32,1.1,,
14_0903_16_40cm_Deltaproteobacteria_5808_68_7.fasta,70.15,4.62,,
14_0903_16_40cm_Alphaproteobacteria_5705_64_8.fasta,68.65,2.27,,
14_0903_16_40cm_Bacteria_5755_67_10.fasta,68.35,2.48,,
14_0903_16_40cm_Euryarchaeota_5737_65_10.fasta,67.72,1.6,,
14_0903_16_40cm_Euryarchaeota_5761_64_44.fasta,67.29,4.15,,
14_0903_16_40cm_Betaproteobacteria_5813_64_10.fasta,67.21,5.54,,
14_0903_16_40cm_Bacteria_5748_66_6.fasta,66.75,1.2,,
14_0903_16_40cm_Deltaproteobacteria_5722_55_19.fasta,66.19,9.25,,
14_0903_16_40cm_Bacteria_5727_70_7.fasta,64.27,2.99,,
14_0903_16_40cm_Gemmatimonadetes_5715_66_7.fasta,63.86,0.0,,
14_0903_16_40cm_Euryarchaeota_5736_64_31.fasta,61.73,5.76,,
14_0903_16_40cm_Bacteria_5716_67_5.fasta,61.55,0.0,,
14_0903_16_40cm_Euryarchaeota_5764_64_9.fasta,60.88,0.27,,
14_0903_16_40cm_Bacteria_5758_68_6.fasta,60.66,1.98,,
14_0903_16_40cm_Deltaproteobacteria_5763_68_8.fasta,60.14,2.58,,
14_0903_16_40cm_Bacteria_5833_56_19.fasta,59.58,26.99,,
14_0903_16_40cm_Actinobacteria_5747_69_7.fasta,58.23,0.0,,
14_0903_16_40cm_Bacteria_5728_72_12.fasta,57.93,2.58,,
14_0903_16_40cm_Bacteria_5803_68_5.fasta,57.0,12.64,,
14_0903_16_40cm_Rokubacteria_5757_71_5.fasta,56.58,0.05,,
14_0903_16_40cm_Bacteria_5785_70_6.fasta,56.33,2.2,,
14_0903_16_40cm_Euryarchaeota_5762_64_11.fasta,55.5,3.26,,
14_0903_16_40cm_RBG_19FT_COMBO_Actinobacteria_70_19_curated_5733_69_6.fasta,55.22,0.0,,
14_0903_16_40cm_Acidobacteria_5811_58_6.fasta,55.1,10.75,,
14_0903_16_40cm_Ktedonobacter_racemifer_5746_53_7.fasta,55.02,0.0,,
14_0903_16_40cm_Bacteria_5817_68_7.fasta,54.89,6.18,,
14_0903_16_40cm_Bacteria_5756_70_6.fasta,54.74,1.4,,
14_0903_16_40cm_Verrucomicrobia_5820_59_6.fasta,53.63,8.7,,
14_0903_16_40cm_Armatimonadetes_5714_65_16.fasta,53.12,1.11,,
14_0903_16_40cm_RIF_CHLX_5740_71_5.fasta,52.75,1.39,,
14_0903_16_40cm_Acidobacteria_5842_64_6.fasta,51.33,2.82,,
14_0903_16_40cm_Gemmatimonadetes_5792_69_8.fasta,50.51,3.85,,
14_0903_16_40cm_Bacteria_5777_68_5.fasta,49.82,3.3,,
14_0903_16_40cm_Bacteria_5814_68_15.fasta,49.65,9.99,,
14_0903_16_40cm_Bacteria_5807_55_10.fasta,49.54,4.39,,
14_0903_16_40cm_Bacteria_5712_67_8.fasta,49.43,2.18,,
14_0903_16_40cm_Archaea_5786_52_19.fasta,48.76,3.88,,
14_0903_16_40cm_Bacteria_5710_66_7.fasta,48.74,3.7,,
14_0903_16_40cm_Archaea_5787_59_10.fasta,48.03,6.31,,
14_0903_16_40cm_Bacteria_5851_56_8.fasta,47.04,7.38,,
14_0903_16_40cm_Bacteria_5760_65_7.fasta,46.6,0.93,,
14_0903_16_40cm_Gemmatimonadetes_5800_70_8.fasta,45.88,2.2,,
14_0903_16_40cm_Bacteria_5867_55_9.fasta,45.67,16.89,,
14_0903_16_40cm_Euryarchaeota_5771_64_18.fasta,45.31,3.2,,
14_0903_16_40cm_Proteobacteria_5769_64_5.fasta,45.24,8.24,,
14_0903_16_40cm_Bacteria_5798_61_7.fasta,44.83,3.66,,
14_0903_16_40cm_Bacteria_5759_65_7.fasta,44.0,4.54,,
14_0903_16_40cm_Betaproteobacteria_5774_67_16.fasta,43.52,1.52,,
14_0903_16_40cm_Bacteria_10596_57_6.fasta,43.23,11.46,,
14_0903_16_40cm_Acidobacteria_5843_65_6.fasta,43.07,2.99,,
14_0903_16_40cm_Archaea_5809_53_15.fasta,41.12,2.8,,
14_0903_16_40cm_Bacteria_5793_68_6.fasta,40.9,0.99,,
14_0903_16_40cm_Actinobacteria_5775_69_6.fasta,40.75,0.92,,
14_0903_16_40cm_Bacteria_5765_67_6.fasta,38.56,0.93,,
14_0903_16_40cm_Bacteria_5745_56_8.fasta,38.54,0.0,,
14_0903_16_40cm_Bacteria_5752_55_10.fasta,37.75,1.69,,
14_0903_16_40cm_Actinobacteria_5778_68_7.fasta,37.26,1.28,,
14_0903_16_40cm_Ktedonobacter_racemifer_5835_53_7.fasta,36.6,1.75,,
14_0903_16_40cm_Archaea_5862_56_10.fasta,36.57,1.46,,
14_0903_16_40cm_Bacteria_5815_55_9.fasta,36.54,3.8,,
14_0903_16_40cm_Gemmatimonadetes_5776_69_18.fasta,35.76,0.55,,
14_0903_16_40cm_Gemmatimonadetes_5806_67_5.fasta,35.74,0.0,,
14_0903_16_40cm_Bacteria_5872_55_11.fasta,35.6,2.59,,
14_0903_16_40cm_unknown_5826_52_5.fasta,34.65,2.18,,
14_0903_16_40cm_Bacteria_5863_71_5.fasta,33.87,3.59,,
14_0903_16_40cm_Rokubacteria_5868_69_8.fasta,33.61,0.34,,
14_0903_16_40cm_Verrucomicrobia_5782_55_6.fasta,33.23,0.0,,
14_0903_16_40cm_Bacteria_5779_55_13.fasta,32.48,0.0,,
14_0903_16_40cm_Proteobacteria_5827_69_6.fasta,32.46,1.75,,
14_0903_16_40cm_Rokubacteria_5781_70_7.fasta,32.21,1.03,,
14_0903_16_40cm_Betaproteobacteria_5830_66_12.fasta,31.25,3.25,,
14_0903_16_40cm_Bacteria_5784_67_6.fasta,31.22,0.0,,
14_0903_16_40cm_Euryarchaeota_5773_64_11.fasta,31.16,0.8,,
14_0903_16_40cm_Bacteria_5828_69_7.fasta,30.32,2.2,,
14_0903_16_40cm_Euryarchaeota_5797_64_8.fasta,30.12,1.87,,
14_0903_16_40cm_Bacteria_5821_69_7.fasta,30.09,2.82,,
14_0903_16_40cm_Gemmatimonadetes_5788_60_6.fasta,30.07,0.0,,
14_0903_16_40cm_Euryarchaeota_5810_63_15.fasta,27.71,3.27,,
14_0903_16_40cm_Bacteria_5816_70_6.fasta,26.9,9.23,,
14_0903_16_40cm_Bacteria_5823_66_7.fasta,26.89,0.67,,
14_0903_16_40cm_Actinobacteria_5837_68_6.fasta,26.44,6.82,,
14_0903_16_40cm_Bacteria_5871_55_10.fasta,25.74,6.32,,
14_0903_16_40cm_unknown_5825_50_5.fasta,25.73,0.97,,
14_0903_16_40cm_unknown_5801_52_12.fasta,25.4,0.97,,
14_0903_16_40cm_Bacteria_5849_55_9.fasta,25.34,2.59,,
14_0903_16_40cm_Bacteria_5860_55_9.fasta,25.17,0.0,,
14_0903_16_40cm_Bacteria_5791_55_9.fasta,23.81,1.7,,
14_0903_16_40cm_Bacteria_5766_55_5.fasta,23.16,1.76,,
14_0903_16_40cm_Euryarchaeota_5852_64_32.fasta,22.9,0.0,,
14_0903_16_40cm_unknown_5794_66_11.fasta,22.09,1.87,,
14_0903_16_40cm_Euryarchaeota_5848_63_18.fasta,21.5,4.67,,
14_0903_16_40cm_Actinobacteria_5822_70_8.fasta,20.94,0.0,,
14_0903_16_40cm_Bacteria_5838_70_5.fasta,18.21,1.67,,
14_0903_16_40cm_Deltaproteobacteria_5855_55_22.fasta,18.1,0.0,,
14_0903_16_40cm_Bacteria_5804_56_7.fasta,17.57,0.85,,
14_0903_16_40cm_Bacteria_5829_56_8.fasta,17.51,1.35,,
14_0903_16_40cm_Bacteria_5859_67_9.fasta,17.17,0.0,,
14_0903_16_40cm_Bacteria_5790_55_12.fasta,16.48,0.03,,
14_0903_16_40cm_Bacteria_5840_71_9.fasta,16.17,0.0,,
14_0903_16_40cm_Bacteria_5824_72_10.fasta,15.76,0.0,,
