gene	locus_num	genome	block1	block2
14_1009_02_40cm_scaffold_5359_14	2	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	5_2	12_9
14_1009_02_40cm_scaffold_5359_15	2	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	5_2	12_9
14_1009_02_40cm_scaffold_5359_16	2	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	5_2	12_9
14_1009_16_30cm_scaffold_102_2	1	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_102_3	1	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_102_4	1	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_102_6	1	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_102_7	1	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_102_8	1	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1074_2	2	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1074_3	2	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1074_8	2	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1074_9	2	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1074_11	2	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_2	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_4	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_6	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_8	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_9	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_10	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_11	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_12	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_13	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_14	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_15	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_16	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_17	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_18	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_19	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_20	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_21	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_22	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_23	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_1343_24	3	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_30_102	4	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_30_103	4	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_30_104	4	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_30_105	4	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_1009_16_30cm_scaffold_30_106	4	14_1009_16_30cm_Bacteria_10556_58_16	5_2	12_9
14_0903_02_20cm_scaffold_62_25	1	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_62_26	1	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_62_27	1	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_62_28	1	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_62_29	1	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_62_30	1	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_6	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_7	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_8	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_9	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_10	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_11	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_13	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_0903_02_20cm_scaffold_89_14	2	14_0903_02_20cm_Proteobacteria_56_68_14	16_13	12_9
14_1009_16_30cm_scaffold_102_2	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_3	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_4	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_6	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_7	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_8	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_9	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_10	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_12	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_13	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_14	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_15	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_16	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_102_17	5	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_2	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_4	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_6	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_8	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_9	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_11	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_12	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_14	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_15	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_17	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_18	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_19	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_20	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_21	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_22	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_1343_23	6	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_153_33	7	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_153_56	7	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_153_57	7	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_153_58	7	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_153_59	7	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_153_62	7	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_92	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_95	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_99	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_102	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_103	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_104	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_106	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_108	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
14_1009_16_30cm_scaffold_30_109	8	14_1009_16_30cm_Bacteria_10556_58_16	16_13	12_9
